	L6_T0_1	L6_T0_2	L6_T0_3	L6_T0_4	L6_T0_5	L6_T0_6	L6_T0_7	L6_T0_8	L6_T0_9	L6_T0_10	L6_T0_11	L6_T0_12	L6_T0_13	L6_T0_14	L6_T0_15	L6_T0_16	L6_T1_1	L6_T1_2	L6_T1_3	L6_T1_4	L6_T1_5	L6_T1_6	L6_T1_7	L6_T1_8	L6_T1_9	L6_T1_10	L6_T1_11	L6_T1_12	L6_T1_13	L6_T1_14	L6_T1_15	L6_T1_16	8M1_T0_1	8M1_T0_2	8M1_T0_3	8M1_T0_4	8M1_T0_5	8M1_T0_6	8M1_T0_7	8M1_T0_8	8M1_T0_9	8M1_T0_10	8M1_T0_11	8M1_T0_12	8M1_T1_1	8M1_T1_2	8M1_T1_3	8M1_T1_4	8M1_T1_5	8M1_T1_6	8M1_T1_7	8M1_T1_8	8M1_T1_9	8M1_T1_10	8M1_T1_11	8M1_T1_12	6M4_T0_1	6M4_T0_2	6M4_T0_3	6M4_T0_4	6M4_T0_5	6M4_T0_6	6M4_T0_7	6M4_T0_8	6M4_T0_9	6M4_T0_10	6M4_T0_11	6M4_T0_12	6M4_T0_13	6M4_T1_1	6M4_T1_2	6M4_T1_3	6M4_T1_4	6M4_T1_5	6M4_T1_6	6M4_T1_7	6M4_T1_8	6M4_T1_9	6M4_T1_10	6M4_T1_11	6M4_T1_12	6M4_T1_13
Dialister_succinatiphilus	0	0	0	0	0	0	3.76957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20013	0	0	0	0	0	0	0	0	0.15019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3743	0.28484	0	0
Megamonas_funiformis	0	0	0	0	0	0	0.54268	0	0	0	0	0	0	0	0	0	1.51758	0	0	0	0	0	0	0.4762	0	0	0	0	0	0	0	0	0.04355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00425	0.58914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megamonas_hypermegale	0	0	0	0	0	0	0.0442	0	0	0	0	0	0	0	0	0	4.1314	0.00191	0	0	0	0	0	0.02561	0.01246	0	0	0	0	0	0	0	0.02333	0	0	0	0	0	0	0	0.01131	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07903	0	0	0	0	0	0.00729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12965	0
Megamonas_rupellensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66329	0	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0.00107	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03034	0	0	0	0	0	0.19065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57089	0
Megamonas_unclassified	0	0	0	0	0	0	1.53146	0.00631	0	0	0	0	0	0	0	0	4.57962	0.00883	0	0	0	0	0	0.72745	0.06465	0	0.00199	0	0	0	0	0	0.01934	0	0	0	0	0	0	0	0.07721	0	0	0	0	0	0	0.0009	0	0.00095	0	0	0	0.00427	1.39425	0	0	0	0	0	0.70155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95214	0
Megasphaera_elsdenii	0	0	0	0	0	0	0.01369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00047	0	0	0	0.03143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03926	0	0	0.00687	0	0	0	0	0	0.00111	0	0	0	0	0	0	0	0	0.02084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera_micronuciformis	0	0	0	0	0	0	0	0	1.05305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00399	0	0.38499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16684	0	0.0148	0	0.11894	0	0	0	0.09402	0	0.646	0	0	0	0
Megasphaera_unclassified	0	0	0	0	0	0	0.92095	0	0	0	0	0	0	0	0	3.18034	0	0	0	0	0	0	0	0.22072	0	0	0	0.01882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53307	0	0	1.39848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87454	0	0	0.26584	0.1815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25436
Mitsuokella_multacida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.19032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella_atypica	0	0.00946	0	0	0	0	0	0	0.61067	0.00426	0	0.01431	0.06834	0	0.16514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50665	0	0	0	0	0	0	0	0	0	0	0	0	0.07806	0.00571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04348	0	0.10713	0	0.00091	1.76764	0	0	0.11487	0	0	0	0
