Taxonomy	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
M321	3549287.354	28502.1214	8917910.684	15518279.63	10125004.96	9583472.478	7787450.194	3738265.192	975665.1987	818893.9436	2127927.746	3054792.84
M322	784399.1443	1579765.438	1204053.078	8960410.225	3142270.769	8201169.246	915723.3389	733525.3468	2310910.193	3198068.947	1225949.609	642605.5325
M323	14731790.11	32922097.18	52943289.92	22556970.12	28241613.37	40686056.54	59626202.11	30861923.47	23607579.38	58434554.12	15736310	16695192.83
M324	420528.4388	42125.21522	2400677.615	19730348.69	224897.4845	17347069.25	122368.4679	138693.9909	143341.3338	235003.6754	70470.4316	228824.0708
M325	3810643.621	47020.63966	1949314.69	153018.228	135610.3949	158113.2165	1510530.849	11411474.46	2679307.155	3075950.14	406568.8007	2481086.039
M326	50342.07487	25877.96321	187196.171	1826258.576	2859902.059	1885130.511	331729.2399	40613.19938	55298.4754	320434.5936	82529.55865	125843.2349
M327	168809448.5	81311457.59	243560564.8	527687478	273158709.2	444756631.2	309925394.5	186980063.9	200091326.5	247635592.1	134014378.4	176761337.2
M328	4866028.35	868852.6297	2772428.752	550301.6976	456248.8506	522670.6294	3332994.299	1295640.322	1373185.873	773418.1687	4743700.55	1219599.306
M329	42828095.36	43320199.38	160249741.7	71712783.9	109491489.1	68134169.27	175527647.5	16915067.4	66389916.67	47167922.8	21829092.75	17394898.42
M330	18843311.33	1487788.331	83119516.69	52263361.67	37644342.21	43322870.1	97223043.24	13380477.49	55011622.76	99141359.6	26255132.41	8797934.368
M331	3105952.711	2071487.725	6736857.602	2415070.11	2808304.918	2656689.885	2831601.115	2553691.276	2841822.3	2636032.365	3124188.418	2687023.449
M332	198800208.6	191944823.5	199675974.8	201680108.2	197901927.5	197072511.2	199579363.8	199347494.3	195498144.3	196738250.6	201756172.9	196735857.9
M333	13516922.96	22081.87709	35185050.86	6300736.698	41671054.47	20689044.2	58945209.91	15856704.61	31703608.5	19613016.25	14542135.81	12121043.01
M334	51717593.56	986184.4199	36660427.9	1057794.561	1231967.733	415386.0049	24567105.16	43076207.47	26380607.49	9005821.955	11776427.17	16337757.03
M335	753074.2472	306714.0476	817332.7334	334781.5954	234281.1438	616899.0177	539776.1273	782923.6727	269870.0724	461653.7091	1012033.158	548199.3057
M336	271494.1722	236631.7637	358737.1675	272613.3951	408390.1215	310766.5929	3208263.379	1376015.053	443693.4305	1566417.901	775476.3568	689725.1397
M337	58231253.57	215979289	99670613.21	65510232.2	69822100.92	73524434.3	51282913.37	56738295.42	59372264.27	67534953.08	71554560.09	59290983.55
M338	6090470.3	622854.9442	93200814.61	17712257.76	100858330	47441658.69	271796994.4	5114432.667	37600083.16	98562941.27	45240348.67	16491622.64
M339	29667795.97	30308551.32	32588071.01	34128269.25	30763303.98	30857432.01	42512027.55	27202452.18	41098841.97	35500077.98	34852216.64	25880506.97
M340	728885.6771	700408.7132	1659716.279	2653827.01	12057473.93	9759270.467	2937746.264	2219704.085	809432.8678	1563796.658	1183443.904	1232745.575
M341	77101860.15	40269202.62	97422517.41	227294350.9	191750546.1	260120560.2	79147218.06	71048818.11	62053466.27	139668793.8	89782846.67	130630326
M342	13702929.39	13703041.82	37537653.29	14417984.82	15313077.69	14891774.21	12177395.99	7155055.736	13309918.81	15622779.12	13087045.46	39077112.33
M343	33915882.88	3457392.918	4891856.756	4402718.007	1305097.759	2778991.285	6135644.064	19920038.19	8489599.099	4220815.237	1525393.424	5586067.286
M344	388866.4304	275955.858	385738.5847	1314097.148	4875567.673	3761184.349	542083.0051	413153.3626	372024.4526	534435.917	260231.2858	348783.5842
M345	665060.0943	4840415.725	13035995.59	5087617.871	11436684.64	7835517.669	8911635.074	1437230.851	351180.6428	1686176.752	1058668.603	2468299.687
M346	3259621.359	82131.62605	7861528.827	1847792.051	923113.7744	1029699.019	7522986.508	14136765.19	3848392.882	4258045.308	1302843.489	2923756.357
M347	19275677.57	149508.162	43234919.16	13842933.8	30805052.49	24322657.78	61311548.26	46265131.33	20211353.56	45926571.13	25841555.58	16677861.31
M348	22457587.72	110666.3532	20423851	6447866.273	9186700.23	12570242.64	18150693.75	21099530.8	15016404.45	15919241.58	5610962.653	10592710.02
M349	5174646.105	105075.1325	15450760.22	1308633.85	8984480.231	6715301.343	23622440.39	14099514.84	7870031.324	16615748.31	2242235.878	6298983.991
M350	1385376.596	19766.7571	9302196.431	9048138.375	44181207.15	19096086.6	28357194.35	972928.5059	5275539.026	14324855.08	3870425.449	2695234.305
M351	30493881.65	26360773.82	57960784.95	29288387.51	67455246.9	65837197.78	72994920.97	44686302.95	25473666.79	38829860.4	19382099.17	30790067.47
M352	65674719.07	89837103.92	85169127.52	231187680	191136336.6	147566995.3	154181881.9	68776739.48	69312295.36	82253161.56	59251792.28	52206777.24
M353	110716.7839	42539.32896	132690.942	76520.03536	79607.09981	80110.87464	387012.2539	363392.1554	98181.2329	113015.0132	64640.24422	100038.3046
M354	3252956.947	2999004.742	15079417.27	10864822.72	15611602.84	11140817.14	18934171.46	8016771.726	3886256.61	14691974.45	5313769.88	8119392.106
M355	2336857.575	688729.017	1286821.847	379240.1595	1225354.167	796962.3018	1047239.305	3799175.769	1235384.9	621631.7147	1547407.414	3023846.255
M356	552370.9349	29513.42844	662278.7488	217223.8257	138783.574	115111.6339	1724647.806	510778.0468	540536.0784	964474.5963	804296.0404	701168.9099
M357	503766.4046	289563.2024	479489.7466	293916.922	281546.5643	276347.8917	488376.8701	525636.5707	461464.0521	435991.3211	317902.7244	495161.5682
